epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89012,4.59034,5.72168,4.45533,0.52285,0,0,0,0,4.60805,5.72069,4.16761,0.52118,0.000171256,0.000171256,0.000171256
2,14.5795,4.51912,5.13606,4.20734,0.50921,0,0,0,0,4.6299,5.74975,4.21157,0.52732,0.000343158,0.000343158,0.000343158
3,19.8546,4.40782,5.08917,4.059,0.52576,0,0,0,0,4.6524,5.76975,4.27752,0.54039,0.000511588,0.000511588,0.000511588
4,24.5883,4.48381,5.23182,4.06366,0.49923,0,0,0,0,4.64277,5.76686,4.25993,0.54764,0.000510378,0.000510378,0.000510378
5,29.4025,4.51026,4.97838,3.9532,0.51455,0.00183,0.00149,5e-05,2e-05,4.42136,5.44907,4.08462,0.5031,0.00050517,0.00050517,0.00050517
6,34.3923,4.20914,4.84978,3.81791,0.45891,0.00545,0.0196,0.00187,0.00029,4.11276,5.15769,3.96572,0.47865,0.000499963,0.000499963,0.000499963
7,39.5201,4.08911,4.69145,3.68913,0.45288,0.00435,0.02738,0.00101,0.00018,3.95666,5.32321,3.87306,0.43742,0.000494756,0.000494756,0.000494756
8,45.4002,3.98267,4.563,3.55013,0.44939,0.00382,0.03477,0.00132,0.00024,3.86844,6.55615,3.77133,0.43128,0.000489548,0.000489548,0.000489548
9,52.1379,4.22063,4.84751,3.57701,0.44482,0.08949,0.01288,0.00286,0.0006,3.83077,6.42366,3.70615,0.44231,0.000484341,0.000484341,0.000484341
10,57.863,3.97142,4.8376,3.52317,0.46985,0.08817,0.00926,0.00355,0.00098,3.74575,5.42546,3.6448,0.44019,0.000479133,0.000479133,0.000479133
11,63.145,3.82043,4.50293,3.41472,0.45134,0.08472,0.0128,0.0031,0.00079,3.724,5.02252,3.54857,0.41557,0.000473926,0.000473926,0.000473926
12,68.1717,3.90566,4.43086,3.34505,0.43516,0.0078,0.04233,0.00278,0.00078,3.72964,4.87062,3.50509,0.42737,0.000468719,0.000468719,0.000468719
13,73.0392,3.85158,4.41948,3.29972,0.40744,0.01237,0.05136,0.00349,0.00074,3.75128,4.84599,3.50517,0.43112,0.000463511,0.000463511,0.000463511
14,78.0985,3.80817,4.61962,3.32021,0.4221,0.01288,0.05917,0.00395,0.00085,3.66927,4.71633,3.4422,0.42771,0.000458304,0.000458304,0.000458304
15,82.9695,3.66211,4.39184,3.20758,0.40805,0.01163,0.06887,0.00554,0.00145,3.59452,4.65476,3.40173,0.42095,0.000453096,0.000453096,0.000453096
16,87.7672,3.6989,4.1941,3.19538,0.40816,0.02633,0.07199,0.00604,0.00178,3.57888,4.62665,3.40374,0.4079,0.000447889,0.000447889,0.000447889
17,92.8625,3.79664,4.31756,3.14817,0.40161,0.04693,0.08334,0.00825,0.00292,3.5267,4.62816,3.35654,0.38612,0.000442682,0.000442682,0.000442682
18,97.7828,3.49837,4.06362,3.11411,0.37399,0.0555,0.07674,0.01273,0.00496,3.51289,4.55254,3.32971,0.38735,0.000437474,0.000437474,0.000437474
19,102.643,3.55286,3.91742,2.98178,0.35458,0.03636,0.08771,0.01417,0.006,3.48487,4.54622,3.29694,0.38572,0.000432267,0.000432267,0.000432267
20,107.58,3.54267,3.94248,2.96995,0.38785,0.02439,0.10468,0.01486,0.00609,3.44395,4.49172,3.27665,0.37216,0.000427059,0.000427059,0.000427059
21,112.57,3.4271,4.08199,3.10705,0.35711,0.09953,0.0426,0.01307,0.005,3.427,4.50869,3.26867,0.37252,0.000421852,0.000421852,0.000421852
