epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3299,5.79752,4.81919,3.98626,0.47055,0,0,0,0,5.77185,6.0707,4.30271,0.38024,0.000173363,0.000173363,0.000173363
2,55.4483,5.243,4.02932,3.11291,0.39572,0.01215,0.00963,0.00182,0.00046,5.06901,4.69237,2.85847,0.40592,0.000279655,0.000279655,0.000279655
3,81.9441,4.57972,3.17394,2.23861,0.37702,0.00944,0.03104,0.00378,0.00121,4.37929,3.72485,1.82201,0.37529,0.000316514,0.000316514,0.000316514
4,108.182,4.27253,2.90496,1.95375,0.38327,0.24336,0.02433,0.01549,0.0057,4.19192,3.62858,1.70708,0.3374,0.000213556,0.000213556,0.000213556
5,134.703,4.09621,2.69713,1.82454,0.3694,0.37848,0.02965,0.01936,0.00757,4.14481,3.46875,1.6745,0.32901,0.000109408,0.000109408,0.000109408
