epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
36,24.3594,4.4118,4.66995,4.13441,0.54487,0,0,0,0,2.853,7.28386,4.16022,0.80296,0.000244056,0.000244056,0.000244056
37,24.8331,4.41306,4.33696,4.24269,0.45284,0,0,0,0,2.853,7.28386,4.16022,0.80296,0.00024713,0.00024713,0.00024713
38,25.3411,3.43367,4.93003,4.17259,0.68969,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000249995,0.000249995,0.000249995
39,25.839,3.37712,4.88771,4.12165,0.66983,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000252651,0.000252651,0.000252651
40,26.3076,3.74194,4.70697,4.07881,0.586,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.0002551,0.0002551,0.0002551
41,26.7826,3.96029,4.06959,4.12004,0.52566,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.00025734,0.00025734,0.00025734
42,27.2457,3.06789,4.97713,4.18484,0.63873,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000259372,0.000259372,0.000259372
43,27.736,4.58429,3.9897,4.10774,0.42893,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000261196,0.000261196,0.000261196
44,28.2144,3.88127,4.18774,4.2386,0.49144,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000262811,0.000262811,0.000262811
45,28.7209,2.57432,5.23328,4.13846,0.67855,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000264218,0.000264218,0.000264218
46,29.255,3.54329,4.55192,4.18055,0.67741,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000265417,0.000265417,0.000265417
47,29.7675,2.67187,5.46586,4.14991,0.46331,0,0,0,0,2.86618,7.27307,4.16304,0.81666,0.000266407,0.000266407,0.000266407
48,30.2772,3.63055,7.68177,4.09603,0.72496,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.00026719,0.00026719,0.00026719
49,30.74,2.54248,5.70847,4.13587,0.74498,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000267763,0.000267763,0.000267763
50,31.2096,3.75346,4.77508,4.06251,0.47811,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000268129,0.000268129,0.000268129
51,31.68,4.71095,4.04407,3.96326,0.44691,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.00026563,0.00026563,0.00026563
52,32.1481,3.13345,5.56581,4.2507,0.65295,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000260423,0.000260423,0.000260423
53,32.6307,3.83123,4.71547,4.0877,0.63597,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000255215,0.000255215,0.000255215
54,33.1281,3.43413,4.65975,4.09394,0.59354,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000250008,0.000250008,0.000250008
55,33.6151,3.22867,9.86516,4.079,0.3498,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.0002448,0.0002448,0.0002448
56,34.0879,3.09785,4.52853,4.17709,0.64704,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000239593,0.000239593,0.000239593
57,34.6779,4.44583,3.91128,3.9731,0.44418,0,0,0,0,2.86085,7.24877,4.16652,0.84714,0.000234386,0.000234386,0.000234386
58,35.1871,4.45741,3.89364,3.89629,0.52413,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000229178,0.000229178,0.000229178
59,35.6879,3.45678,6.77817,4.32415,0.35346,0,0,0,0,2.84681,7.27209,4.16594,0.86823,0.000223971,0.000223971,0.000223971
