epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,311.654,4.49445,5.52018,3.70887,0.4944,0.00691,0.00986,0.00031,6e-05,4.14158,6.25829,3.31009,0.43061,0.000166548,0.000166548,0.000166548
2,615.055,3.9076,4.66193,2.92792,0.42131,0.01492,0.02568,0.00356,0.00125,3.89636,5.84491,2.90331,0.369,0.000278235,0.000278235,0.000278235
3,914.308,3.60219,4.29807,2.56916,0.36768,0.04591,0.03554,0.00758,0.00314,3.69053,5.2214,2.7896,0.33363,0.000334921,0.000334921,0.000334921
4,1211.98,3.50987,4.1669,2.39751,0.34529,0.04464,0.04672,0.01382,0.00685,3.52382,5.19271,2.55436,0.31652,0.0002525,0.0002525,0.0002525
5,1505.47,3.32569,3.972,2.30912,0.32357,0.06285,0.0484,0.02495,0.0143,3.46268,5.0285,2.49612,0.31105,0.00017,0.00017,0.00017
6,1800.95,3.3449,3.97035,2.24483,0.32181,0.0444,0.07091,0.03127,0.01622,3.43645,4.7775,2.4752,0.30164,8.75e-05,8.75e-05,8.75e-05
