epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3505.63,1.76496,1.58719,1.42342,0.11478,0.64869,0.28148,0.28483,0.18253,1.72241,2.23165,1.48584,0.11229,0.000338534,0.000338534,0.000338534
38,3592.11,1.74345,1.56012,1.42434,0.10998,0.62997,0.29817,0.29099,0.1858,1.71783,2.13372,1.48401,0.10996,0.000333326,0.000333326,0.000333326
39,3680.16,1.72262,1.56154,1.43981,0.10846,0.63676,0.29298,0.29314,0.1877,1.70941,2.05125,1.46997,0.11057,0.000328119,0.000328119,0.000328119
40,3765.89,1.74001,1.55327,1.40845,0.10969,0.67776,0.29095,0.29582,0.19017,1.71828,2.09654,1.48072,0.11133,0.000322911,0.000322911,0.000322911
41,3850.18,1.70472,1.51818,1.40129,0.10767,0.62418,0.30159,0.29983,0.19274,1.70412,2.11723,1.45987,0.11761,0.000317704,0.000317704,0.000317704
42,3940.1,1.71483,1.52295,1.41278,0.10559,0.66196,0.2965,0.29976,0.19191,1.67542,2.04577,1.45989,0.10478,0.000312497,0.000312497,0.000312497
43,4027.41,1.6951,1.49528,1.41103,0.10516,0.66265,0.30458,0.30334,0.19384,1.67119,2.01257,1.44948,0.10994,0.000307289,0.000307289,0.000307289
44,4116.49,1.71293,1.53488,1.39564,0.10856,0.65009,0.30518,0.30579,0.19877,1.66617,2.048,1.44447,0.11012,0.000302082,0.000302082,0.000302082
45,4206.18,1.67289,1.45501,1.39112,0.1054,0.71381,0.29944,0.30852,0.20023,1.67683,2.04829,1.43864,0.10986,0.000296874,0.000296874,0.000296874
46,4294.63,1.69269,1.47399,1.37709,0.10273,0.65868,0.31198,0.31507,0.20365,1.64923,1.98363,1.43736,0.10798,0.000291667,0.000291667,0.000291667
47,4382.56,1.66041,1.47252,1.38622,0.1026,0.66694,0.29712,0.30807,0.19967,1.64856,2.02228,1.43243,0.10516,0.00028646,0.00028646,0.00028646
48,4471.36,1.64502,1.45485,1.38223,0.10131,0.64137,0.3042,0.30725,0.2003,1.65064,1.99186,1.4357,0.10568,0.000281252,0.000281252,0.000281252
49,4559.32,1.65594,1.4836,1.38845,0.09961,0.641,0.31563,0.31203,0.20384,1.64302,1.97313,1.43249,0.10821,0.000276045,0.000276045,0.000276045
